"SE","tweets"
201103,60
201104,73
201105,108
201106,203
201107,218
201108,248
201109,251
201110,196
201111,324
201112,695
201113,800
201114,789
201115,808
201116,639
201117,621
201118,526
201119,671
201120,450
201121,289
201122,244
201123,159
201124,152
201125,130
201126,174
201127,109
201128,89
201129,95
201130,76
201131,56
201132,57
201133,75
201134,43
201135,91
201136,58
201137,59
201138,42
201139,54
201140,68
201141,61
201142,88
201143,101
201144,81
201145,82
201146,85
201147,71
201148,97
201149,78
201150,98
201151,107
201152,61
201201,140
201202,102
201203,125
201204,77
201205,86
201206,87
201207,120
201208,102
201209,222
201210,242
201211,206
201212,252
201213,267
201214,262
201215,300
201216,442
201217,556
201218,429
201219,561
201220,437
201221,323
201222,377
201223,271
201224,215
201225,162
201226,169
201227,148
201228,147
201229,94
201230,66
201231,90
201232,84
201233,63
201234,56
201235,63
201236,53
201237,84
201238,69
201239,49
201240,52
201241,48
201242,63
201243,87
201244,60
201245,53
201246,70
201247,64
201248,74
201249,86
201250,86
201251,71
201252,72
201301,96
201302,135
201303,212
201304,195
201305,185
201306,184
201307,224
201308,440
201309,473
201310,474
201311,659
201312,869
201313,852
201314,932
201315,1369
201316,783
201317,601
201318,443
201319,368
201320,304
201321,206
201322,193
201323,164
201324,146
201325,150
201326,123
201327,88
201328,90
201329,84
201330,57
201331,148
201332,155
201333,71
201334,97
201335,63
201336,55
201337,46
201338,115
201339,45
201340,56
201341,53
201342,57
201343,69
201344,66
201345,54
201346,63
201347,86
201348,74
201349,60
201350,NA
201351,NA
201352,NA
201401,27
201402,77
201403,82
201404,76
201405,91
201406,65
201407,77
201408,68
201409,77
201410,75
201411,66
201412,92
201413,63
201414,65
201415,76
201416,62
201417,64
201418,88
201419,146
201420,114
201421,92
201422,80
201423,55
201424,62
201425,63
201426,80
201427,49
201428,62
201429,55
201430,60
201431,64
201432,64
201433,42
201434,58
201435,81
201436,46
201437,45
201438,57
201439,80
201440,65
201441,48
201442,105
201443,88
201444,58
201445,55
201446,47
201447,50
201448,46
201449,40
201450,46
201451,28
201452,40
201453,39
201501,37
201502,51
201503,62
201504,48
201505,64
201506,47
201507,57
201508,81
201509,94
201510,129
201511,137
201512,146
201513,141
201514,166
201515,349
201516,208
201517,321
201518,598
201519,408
201520,310
201521,295
201522,211
201523,156
201524,116
201525,118
201526,132
201527,99
201528,81
201529,104
201530,77
201531,80
201532,83
201533,79
201534,59
201535,70
201536,94
201537,88
201538,52
201539,59
201540,77
201541,69
201542,133
